SWP,delta_C,delta_L,source,alpha,deviation
0.8861105453601749,0.1269156333399917,0.0950655451851532,Human structural,0.6428897527820566,-0.1814473438528728
0.952625779961353,0.0,0.0659748113197276,Human rs-fMRI,1.5707963267948966,1.0
0.7933937121053248,0.1473723935595361,0.2522968371021879,Cat cortex,1.0421328753385195,0.3268847877495628
0.6096422386875225,0.5519772291964438,0.0089163940242027,C. elegans (binary),0.0161521492809113,-0.979434444803078
0.6615019756017134,0.478706695758158,0.0013131943467362,C. elegans (weighted),0.0027432059429362,-0.996507241714101
0.7283419088184223,0.3575204139400109,0.140625,Macaque,0.3747468081734134,-0.5228575445703277
