,SWP,delta_C,delta_L
0,0.8871836157778912,0.13886751273912903,0.07855499349849637
1,0.9032814523592416,0.10510315576799246,0.08753445928938153
2,0.8773761964279864,0.15162351279056585,0.08416355965609278
3,0.9004416769381685,0.10980912877141909,0.08812306519992338
4,0.8794606102491318,0.1472745760087107,0.08584688826322068
5,0.8920293438083174,0.13801326715300313,0.06532735481158572
6,0.8792120595215098,0.1273458035468132,0.11385297294795176
7,0.8950284301130442,0.11710158175913762,0.09124297517382969
8,0.9040688485687355,0.09699783697302332,0.094852470987377
9,0.8993099748167023,0.09943187829546445,0.10193264404233916
10,0.8992853141155492,0.11855784279022195,0.07893626428034321
11,0.8961826591764849,0.11548716902910401,0.09065756615404447
12,0.8876712438791361,0.13679117837956475,0.08076925418035719
13,0.8582714647551969,0.14199528308121215,0.14146128441365588
14,0.8765935321393888,0.15755732529775274,0.07505998844046179
15,0.8909315164235827,0.09444285395903315,0.12195251352633589
16,0.8792639191832284,0.1433301918220745,0.09279471177947211
17,0.8944079345406584,0.11784213967762963,0.09172021964723935
18,0.8823191423340191,0.1525879928707128,0.06644150023659183
19,0.9079079379473335,0.10740918502260681,0.07365570418510549
20,0.8702285226302424,0.159020226788353,0.09161790299739339
21,0.8904742689028436,0.11121578319075401,0.10780918844885358
22,0.8832405339532412,0.13675551145309428,0.09253905073130511
23,0.8794256760778527,0.1348931546854066,0.10430806295576944
24,0.8898121783909829,0.11383833693909297,0.10641214735556605
25,0.8899596989043002,0.108504015831841,0.1115554314178748
26,0.9050788469028017,0.09658087331100101,0.09323189111611899
27,0.901821557275986,0.11536873275721381,0.07725327652222647
28,0.8962881317649375,0.12396226016255339,0.07839426816423094
29,0.8685532369216018,0.15167619147977177,0.10747481558843791
30,0.8902952580710866,0.12459683268071224,0.09244398352144714
31,0.8864546139550583,0.13855033795238045,0.08117212106056378
32,0.8799203728837691,0.14639526441615583,0.08606195589963024
33,0.890522040124998,0.12883342764002806,0.0858649830798722
34,0.8836162716350227,0.1387249805776634,0.08857609282415065
35,0.8748077434783574,0.14190639407851124,0.10587151413669216
36,0.8928742386050482,0.12591683507204304,0.08424255548317727
37,0.28670776085017924,0.1325580509163065,1.0
38,0.8700479479043146,0.1607476687815356,0.08908006886538206
39,0.8969177325797838,0.11604187269889941,0.08823939875995511
40,0.8810850471448748,0.13944174387785646,0.09400814905834255
41,0.8917279899113044,0.13458317980161577,0.07302755679727464
42,0.8875263437088837,0.12332512538236721,0.10045675770403767
43,0.8831146701884994,0.1376554948291384,0.09151680388667208
44,0.9051390781482086,0.0979365827508442,0.09168213974504745
45,0.9055883147776496,0.09780529011223783,0.09089146186033836
46,0.891084426673694,0.0945043737473829,0.12163111266699338
47,0.8705132842212608,0.15155754180848488,0.10278098387978822
48,0.8756925861251741,0.16187769466121488,0.0685585753911574
49,0.8879307590344274,0.13605482892368434,0.08129030119113925
50,0.8858966599305585,0.13763967012801795,0.08422865092743455
51,0.8872913607339381,0.1169839262450038,0.10826465596268263
52,0.8861369139216106,0.13639029012147338,0.08559961158305421
53,0.875022042950798,0.15688087604448775,0.08140866187266844
54,0.8918230100997189,0.12326321302213776,0.09061292735162085
55,0.8883983529886008,0.11846039896559452,0.10429280468098495
56,0.8746117027203913,0.1363697141233258,0.11334792128345995
57,0.8861546604215882,0.12346396482328059,0.10333524121790955
58,0.903051636933627,0.11126297500426868,0.08011567010078621
59,0.8788349956464387,0.143390624086605,0.09381388747968472
60,0.8915694624739148,0.12689153015332272,0.08609821433537376
61,0.8828420137222589,0.1266161101998829,0.10686602891079024
62,0.8917185463445363,0.13320720595433522,0.07553533407167795
63,0.8863265249034877,0.1257374797439832,0.10016688109682864
64,0.8798474888100017,0.1543370932409998,0.0710866621838742
65,0.8971547800238482,0.11952851706153543,0.08286864396716266
66,0.8860140255912137,0.1344568331787174,0.08892111523924746
67,0.8969993366888055,0.11168238868548543,0.09351640146303886
68,0.9140407423634892,0.09386404750528411,0.07724978014703898
69,0.8798880922170678,0.13178903984863452,0.10716991069458931
70,0.8886021487159484,0.14408443601189988,0.06370743944422867
71,0.893931734047474,0.11221147891208345,0.09954666285071866
72,0.8953692718162801,0.1289256067015371,0.0726179488635661
73,0.8827461188292232,0.1399353990071823,0.08896645100217263
74,0.8964081822578795,0.11773059032443613,0.08718966399805177
75,0.8864562381984864,0.13737059026110804,0.08314861766375009
76,0.8843111045601967,0.13359873126100638,0.09444162250624936
77,0.8789491545278568,0.14366780955315597,0.09309229225472687
78,0.896365863645472,0.09851772993316853,0.10850956328689695
79,0.9007720679336336,0.11621289438543153,0.0786570288206679
80,0.8842284208483576,0.15018391695700078,0.06519898899509612
81,0.8852959016192087,0.13873417242675368,0.08406479507953546
82,0.8851446193761848,0.13866358957806513,0.0845927056063867
83,0.8832861303630692,0.13880949862175332,0.08930944980028936
84,0.8272171084797999,0.12855984190567415,0.20779851359754842
85,0.9254756913146232,0.06627357888905826,0.08194850768197322
86,0.8959765622312436,0.10514184707351633,0.10289287246660958
87,0.8832861836709107,0.13670853035893146,0.09249328392538489
88,0.8998343917644885,0.09901936980305005,0.101298877339222
89,0.8904306286591325,0.11309461949974069,0.10592686775447828
90,0.8359444701142427,0.11992222294132075,0.19861292560406377
91,0.8705690901819667,0.15763394419447427,0.09303902659820275
92,0.8920586183732107,0.12833192167979013,0.08266560114686491
93,0.9119545118609997,0.08539585135043212,0.09061768334825468
94,0.8932344956017675,0.13253641621860696,0.07233148854230918
95,0.8723233498065295,0.16327033548255115,0.0771067543128801
96,0.9056726452192634,0.1028348267273868,0.08497233745055056
97,0.9045543082908936,0.09651675596612688,0.09436247108588619
98,0.8889210034687804,0.1288752965561177,0.08982340941167888
99,0.8884407660333881,0.1270864402322006,0.09348776430924986
100,0.8877886615485777,0.1300690916541263,0.09091094736273399
101,0.8843179304673814,0.13885519130010957,0.08650964265160951
102,0.8930397416242339,0.10729612269475164,0.10662333608687212
103,0.870175130418985,0.15678322461852276,0.09554064057600273
104,0.896604764173411,0.12030816423160838,0.08310893575598383
105,0.89821070106758,0.124433495255546,0.07237698538067966
106,0.8865123058219895,0.14392773336677478,0.07101915958096007
107,0.8945104941673492,0.11877271833116902,0.09027243799664743
108,0.8849209839650762,0.13003810669274168,0.09785934125518948
109,0.8859507944250986,0.14069582776407633,0.07886143946386999
110,0.8779803949540144,0.1447728827787587,0.09390623218447444
111,0.8776398838848133,0.14772684251507692,0.09011534848165222
112,0.8739252681646636,0.1362704566249001,0.11497842695890896
113,0.8791273376076953,0.14557752885583541,0.089596786325384
114,0.9128205481958461,0.1017838533735892,0.0695741390616462
115,0.8801354956275196,0.14795645799133147,0.08272777862109035
116,0.8926610346530315,0.12185365277536855,0.0905262076352221
117,0.8833608843553281,0.1393229789170896,0.08830896977323702
118,0.8959993875798447,0.12334239036346373,0.08011809725000765
119,0.9054112715557656,0.10371905853857569,0.08447728684839327
120,0.8938737010796944,0.11844714071898821,0.09217297597745396
121,0.8876654084597285,0.1333264880750167,0.08638384392131264
122,0.8926369021038278,0.12125298950934482,0.09138589669512917
123,0.8924974995968519,0.12151902153543666,0.09136029001118495
124,0.899562292307195,0.1162479943107693,0.08162027978323792
125,0.8944764642261891,0.1254537719912017,0.08081945494491456
126,0.8863566758711314,0.1354581894311357,0.08649097729911896
127,0.8665985427063286,0.16772621374569166,0.08637021962855604
128,0.8907842896318819,0.12729765348871083,0.0874725682639616
129,0.897922620549617,0.11333637739069896,0.08941167905183292
130,0.8706568975718818,0.1611494349463986,0.08654557127847602
131,0.8861217396009818,0.12074087288222268,0.10657465927063578
132,0.8900293126540932,0.13710417859970453,0.07341354344508016
133,0.8892583198957102,0.14012021330791744,0.06995545187607176
134,0.884585470786824,0.14585678141326222,0.07325862695111023
135,0.8931920490255679,0.12999019485105814,0.07693130718567892
136,0.8838540611463027,0.13908144988526447,0.08738483004633153
137,0.9050679236598299,0.09545475241042815,0.09440650654894302
138,0.9149035546170826,0.09600057116472684,0.07257203572769548
139,0.8954293994515539,0.11381410589064551,0.09442653386860228
140,0.8738234058033196,0.15542291190803265,0.08766290150443015
141,0.8782282360015489,0.15086259905463126,0.0830493902510461
142,0.8897051365423508,0.12507113264766323,0.09320475089025011
143,0.8377564125537885,0.13341666934532706,0.18667071456345957
144,0.8817276146883019,0.12865170100932857,0.10688991571726457
145,0.8833926192318405,0.12596489136109865,0.10643029946217235
146,0.8870802687047407,0.1101448189287661,0.1156280688013791
147,0.8747466316884571,0.1438751207640796,0.10332841899446402
148,0.8926113911173644,0.11049348151943232,0.10419125288242867
149,0.8782310275827584,0.15210002936002198,0.08075237678101074
150,0.8837974985524567,0.1324587070350091,0.09726630257158049
151,0.8805401331269056,0.14370470710830757,0.08882722973047408
152,0.9068831600645922,0.10597583532634827,0.07817041694909534
153,0.8952036091538611,0.10824446354347982,0.1012309398402369
154,0.8839375913278157,0.13805014680333913,0.0887869493853392
155,0.8947050243690197,0.11959703695471603,0.08871647275399186
156,0.8779744642027815,0.1508158845708742,0.0838750960315473
157,0.878552537566159,0.14388865873548182,0.0937818007426947
158,0.878458189207959,0.14431355401983018,0.09337248881432973
159,0.8846260598557982,0.1448798915437595,0.07504737940170979
160,0.8896637481298978,0.12685064765367338,0.09086853219530325
161,0.8757323093915046,0.15881715721914877,0.07524645128619473
162,0.9077137162369633,0.09848459838922778,0.08564052908346585
163,0.8857619313403109,0.12779282553033916,0.09884162283756766
164,0.8958260585122139,0.11816080988770734,0.08799115396948978
165,0.8817994722187321,0.15159132995495422,0.07044713065859202
166,0.8947865644801223,0.06759832225977261,0.1325526342833475
167,0.8757740744019534,0.15579125772074062,0.08119880047865603
168,0.8802263918180447,0.1287327201522363,0.11008778858735926
169,0.872824744044113,0.14318674182823915,0.10883312188623412
170,0.8948835085955322,0.1275696948398,0.0763212060233025
171,0.8793683567026246,0.1406537322873675,0.09654281082962099
172,0.8850770569815657,0.13406421481019112,0.091876830438166
173,0.8785425784773837,0.13724382610467165,0.10328573319677609
174,0.8833451258187736,0.13295308600070252,0.09767392826832218
175,0.8861298115847087,0.13305275149628157,0.09071827235312965
176,0.8965664496112135,0.11888965212063761,0.0852188319017167
177,0.907441355446392,0.09750392211438287,0.08733378805201696
178,0.8876280020865713,0.135783739779406,0.0825694122640448
179,0.9024172730278931,0.11439143797146145,0.07719699557266996
180,0.885921599136019,0.13369793697390583,0.0902918863258919
181,0.8975948711256878,0.11238393435712342,0.09134260855670111
182,0.8799354355192296,0.13634876707845786,0.10119294937938404
183,0.8733823009210695,0.1625890856155682,0.07502581341630758
184,0.8968167286122999,0.11576904226219864,0.08883188527904165
185,0.8860086962788333,0.12738211025767432,0.0988019869962353
186,0.9066082018662217,0.103408657420423,0.08216267697578009
187,0.8904134700085121,0.1258546247663141,0.09043798171167247
188,0.8940329818678188,0.1191980738706331,0.0908286136037711
189,0.8949350691832179,0.10102470375992731,0.10895544321092615
190,0.8915558235954772,0.12888492940726515,0.08312011648087829
191,0.8793763813605295,0.11914350128382555,0.12208579298670214
192,0.8812659759987611,0.14448119861294842,0.08556120708837217
193,0.8862712156533705,0.14375613082290004,0.0721293811754514
194,0.8852137705950206,0.11228925145495716,0.1172300342476728
195,0.8621215958921904,0.10813472575268109,0.16225840417379106
196,0.8884608853947857,0.13156232196444215,0.08702472989417838
197,0.89049397227,0.13079204250961077,0.08292515803163245
198,0.90321407985863,0.09608129254860384,0.09748545479923104
199,0.8874952631495535,0.13642467347205856,0.08187148524131363
200,0.8925873027878672,0.10331086419558243,0.11136355051780875
201,0.9145870234282417,0.0922252425988665,0.07800806215562384
202,0.8931870203771479,0.12543226018306494,0.08417109561596275
203,0.8926135613390621,0.12125208469937561,0.09144192896376475
204,0.9072480741085028,0.10672708952140332,0.07625724801914847
205,0.8427975997646777,0.09756111336218054,0.19976741085328373
206,0.8981744152996555,0.10903929990731649,0.09406024917496426
207,0.9180911173486337,0.08763999922270001,0.07574536718925934
208,0.8792060164625654,0.1470288716493584,0.08697634057144825
209,0.8785256540005321,0.1480063297109394,0.08721330080609023
210,0.901623544091795,0.11648679786722682,0.0760702312127275
211,0.893322741916863,0.13532638795045326,0.06668465722005226
212,0.8946838477754059,0.11580729168841758,0.09365711414826716
213,0.7404571559845574,0.0,0.3670490100235236
214,0.8883850004052763,0.11402401337917797,0.10915283158015363
215,0.8858239767664916,0.13578002848804627,0.08738485238656998
216,0.890837859471759,0.13491826662709855,0.07503204102084692
217,0.8883794653804067,0.13604839762810325,0.08005698595596253
218,0.8820356964141187,0.13866750753562146,0.09274953474202588
219,0.8727164916036944,0.14608002895107994,0.1051798847736414
220,0.8937399564915345,0.12258484750844036,0.08692150973248462
221,0.8960963423622572,0.10502624450516834,0.10276880901393738
222,0.8931977421165423,0.10822469926402767,0.10536061430733944
223,0.8799627842514485,0.14142350478334273,0.09390025891404373
224,0.8754184811629141,0.14625361036057208,0.0982394581011538
225,0.8939435878139631,0.10696515365799342,0.10513981659899818
226,0.8892653269211932,0.1141962170191133,0.10716137206225008
227,0.923143170661711,0.07681627056259278,0.07689736672165251
228,0.8837817247238359,0.13950951743953802,0.08689343795776398
229,0.8835786786332002,0.13967296422026743,0.08717402826247782
230,0.8915747598538891,0.12848840812541656,0.08368270059504554
231,0.8963352802146967,0.12226502335648542,0.08089506981249847
232,0.8763292034597314,0.15214083748390134,0.08626759184946653
233,0.873967915339682,0.1540144374108746,0.08970911768969138
234,0.8852719696074597,0.13573343893206147,0.08889024395950125
235,0.8767384223193846,0.1489470768997425,0.09056269291298126
236,0.8759016274914063,0.14865963325393933,0.09327982396728476
237,0.8993123419333863,0.1215399727100386,0.07418924455419201
238,0.8906916612340081,0.1252158268143076,0.09065110348347137
239,0.8816838060528196,0.13816006287019608,0.09438877331545896
240,0.8743410879547877,0.13448373188657284,0.11616561544034108
241,0.8775618823843908,0.15125518952620692,0.0842855440268302
242,0.8779239615133446,0.14437099016112606,0.0946685562638765
243,0.885713139683523,0.13444043974932846,0.0897147760516795
244,0.8849408623382862,0.14612459510377865,0.07158779941212859
245,0.874119943159781,0.14738843365957774,0.09984100882688321
246,0.8874986031717346,0.14051836560318232,0.0746171394843844
247,0.87957045874178,0.14630312523258773,0.08718912984144526
248,0.891179619362711,0.12060118047671503,0.09559867024029016
249,0.88701488847714,0.14486427971012952,0.0674211488757908
250,0.8780905633198375,0.13780300727279382,0.10360575606559425
251,0.9032194004793962,0.10438568505958885,0.08852455954013738
252,0.90655096834352,0.1084253244507364,0.07556051914075333
253,0.9069393993857614,0.10842924746423588,0.07458987242049121
254,0.8890281932741806,0.13318569286819973,0.08301237854201521
255,0.8932489543286226,0.09248818717206332,0.11932102387044109
256,0.8829895641325759,0.14051827734887337,0.08739277964840239
257,0.9134990394094835,0.0881113853031106,0.0848599796496025
258,0.8948823440031222,0.10614654027321083,0.10407860103106473
259,0.9031992675356152,0.11509521643071041,0.0741205421327364
260,0.902114318922982,0.10898052287312283,0.0853607565226792
261,0.8650629537339045,0.12851729271788775,0.14106494384680263
262,0.8881104297592197,0.11759904155327393,0.10587264652914066
263,0.8880955890417047,0.1402615507938091,0.07329319035737067
264,0.8858563984279417,0.11393503645081945,0.11435178629401477
265,0.9209730387918359,0.0758625893028088,0.08206941415574195
266,0.9072281948730911,0.09511337486871614,0.09036958323514262
267,0.9058883068249378,0.10363556771615683,0.08350862643286606
268,0.8794508888178936,0.13459282933336,0.10463721472608471
269,0.8888623173575304,0.13098412505086113,0.08686960337734348
270,0.9044113528048037,0.1061028522405562,0.08376493115638614
271,0.8749203136721349,0.11882141643924321,0.13103940956493293
272,0.9137146986162997,0.0906086568243583,0.08173357803398588
273,0.876825951040457,0.15069177126026367,0.0873823938137435
274,0.9071674041381945,0.0949796371350975,0.09063470769284694
275,0.895614651659996,0.13526674292930066,0.05912283952438721
276,0.8850260268628529,0.12999503228977283,0.09766944546716617
277,0.8695632703032841,0.1570037534985868,0.09683647192717879
278,0.9083578875798854,0.08905305595172687,0.09416000617725355
279,0.8911072703452462,0.13207702368997132,0.07918909619717467
280,0.8922901479300349,0.13133004019076275,0.07717023395947528
281,0.8906766347908229,0.1270147552320421,0.08815014642451066
282,0.8749845534638021,0.15708879976542467,0.08112233190403376
283,0.8800022552384956,0.13388595697507372,0.10427592253518068
284,0.8801298266831303,0.14349218970087002,0.09026465751822414
285,0.8941037300241165,0.1104761666131447,0.101109132129967
286,0.8882816953415743,0.13131948421987108,0.08784732355474857
287,0.8963696885167228,0.1121826451717634,0.09430555147237255
288,0.8908917271486263,0.13569382668513172,0.07346030090303934
289,0.8946125193866981,0.12919786697316515,0.07430311776515511
290,0.8954679387726021,0.11855543240344542,0.0883091903288043
291,0.8910434529391009,0.12123536113199102,0.0951054441452409
292,0.8757709020594677,0.1501878733234604,0.09115558269690847
293,0.8670317661324072,0.1698975204534028,0.08059736335339548
294,0.8849445411545006,0.12886004998269376,0.09935091715104827
295,0.8962134916544787,0.12126583017204164,0.0826914570061229
296,0.9025196336995701,0.11254842813807775,0.07960964107305045
297,0.8832615776134934,0.14522842587590942,0.07851383852663377
298,0.8977059769552993,0.12224076959490554,0.07736490515850669
299,0.8870756500547016,0.12937612534961213,0.09362497428922421
300,0.88646258896148,0.13062582501357345,0.09337227238416637
301,0.8838917043431481,0.1427265621275132,0.08118744425056722
302,0.9011803604073519,0.11105566890218711,0.08483678885442025
303,0.8990516372656296,0.11042032240885238,0.0904903104018609
