input_file,SWP,delta_C,delta_L
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/115017_covariance_mst.mat,0.941522,-0.000000,0.082701
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/112314_covariance_mst.mat,NaN,NaN,0.077583
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/117021_covariance_mst.mat,0.944695,-0.000000,0.078213
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/114217_covariance_mst.mat,0.924304,-0.000000,0.107051
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/114621_covariance_mst.mat,NaN,NaN,0.111960
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/114318_covariance_mst.mat,NaN,NaN,0.100814
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/116726_covariance_mst.mat,NaN,NaN,0.087891
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/116524_covariance_mst.mat,0.942575,-0.000000,0.081211
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/115825_covariance_mst.mat,0.913532,-0.000000,0.122284
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/117930_covariance_mst.mat,0.942333,-0.000000,0.081553
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/112112_covariance_mst.mat,0.933734,-0.000000,0.093714
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/113922_covariance_mst.mat,0.933154,-0.000000,0.094535
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/112920_covariance_mst.mat,NaN,NaN,0.091569
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/108323_covariance_mst.mat,0.891397,-0.000000,0.153588
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/108121_covariance_mst.mat,0.935069,-0.000000,0.091826
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/108020_covariance_mst.mat,0.939412,-0.000000,0.085685
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/107422_covariance_mst.mat,NaN,NaN,0.116500
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/111413_covariance_mst.mat,0.935735,-0.000000,0.090884
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/111716_covariance_mst.mat,0.916970,-0.000000,0.117422
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/110007_covariance_mst.mat,0.956816,-0.000000,0.061071
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/110613_covariance_mst.mat,NaN,NaN,0.096489
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/109123_covariance_mst.mat,0.927137,-0.000000,0.103043
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/108828_covariance_mst.mat,0.939311,-0.000000,0.085827
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/108525_covariance_mst.mat,0.903345,-0.000000,0.136690
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/111211_covariance_mst.mat,0.931292,-0.000000,0.097168
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/107725_covariance_mst.mat,0.934921,-0.000000,0.092035
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/130720_covariance_mst.mat,0.946227,-0.000000,0.076047
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/131217_covariance_mst.mat,0.948793,-0.000000,0.072418
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/130619_covariance_mst.mat,NaN,NaN,0.102478
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/131419_covariance_mst.mat,0.956869,-0.000000,0.060997
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/130518_covariance_mst.mat,0.945396,-0.000000,0.077222
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/131722_covariance_mst.mat,0.952755,-0.000000,0.066815
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/130316_covariance_mst.mat,NaN,NaN,0.107800
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/130417_covariance_mst.mat,0.943186,-0.000000,0.080347
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/143426_covariance_mst.mat,0.946239,-0.000000,0.076030
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/145632_covariance_mst.mat,0.911268,-0.000000,0.125485
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/144125_covariance_mst.mat,0.934795,-0.000000,0.092214
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/139839_covariance_mst.mat,0.944128,-0.000000,0.079015
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/143224_covariance_mst.mat,0.937543,-0.000000,0.088327
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/140925_covariance_mst.mat,0.894146,-0.000000,0.149700
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/145127_covariance_mst.mat,NaN,NaN,0.044583
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/144933_covariance_mst.mat,0.918405,-0.000000,0.115393
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/144832_covariance_mst.mat,0.949476,-0.000000,0.071451
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/146129_covariance_mst.mat,0.917170,-0.000000,0.117140
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/146432_covariance_mst.mat,0.935523,-0.000000,0.091184
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/139435_covariance_mst.mat,0.943640,-0.000000,0.079706
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/154330_covariance_mst.mat,0.943911,-0.000000,0.079321
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/155938_covariance_mst.mat,0.937400,-0.000000,0.088530
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/154835_covariance_mst.mat,0.946268,-0.000000,0.075988
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/154734_covariance_mst.mat,NaN,NaN,0.089788
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/154532_covariance_mst.mat,NaN,NaN,0.098184
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/154229_covariance_mst.mat,0.925335,-0.000000,0.105592
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/154936_covariance_mst.mat,0.950189,-0.000000,0.070443
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/156031_covariance_mst.mat,0.925304,-0.000000,0.105635
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/157942_covariance_mst.mat,0.930169,-0.000000,0.098756
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/135124_covariance_mst.mat,0.927262,-0.000000,0.102867
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/134021_covariance_mst.mat,NaN,NaN,0.075382
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/156536_covariance_mst.mat,0.931131,-0.000000,0.097395
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/134829_covariance_mst.mat,NaN,NaN,0.101773
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/156435_covariance_mst.mat,0.913729,-0.000000,0.122006
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/157437_covariance_mst.mat,0.951034,-0.000000,0.069248
