input_file,SWP,delta_C,delta_L
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/108020_covariance.mat,0.749424,0.354368,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/108828_covariance.mat,0.255535,0.366043,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/110007_covariance.mat,0.290426,0.263762,0.999355
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/109123_covariance.mat,0.292893,0.000000,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/134627_covariance.mat,0.491635,0.631571,0.344528
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/134223_covariance.mat,0.278129,0.318838,0.998357
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/134021_covariance.mat,0.664915,0.473882,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/111716_covariance.mat,0.109897,0.807612,0.965976
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/112112_covariance.mat,0.270685,0.315215,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/112314_covariance.mat,0.698134,0.426903,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/105014_covariance.mat,0.727000,0.386080,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/123521_covariance.mat,0.162387,0.803262,0.870852
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/123723_covariance.mat,0.669071,0.468004,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/123420_covariance.mat,0.388887,0.321645,0.835787
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/118528_covariance.mat,0.150881,0.665019,0.999977
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/118124_covariance.mat,0.605455,0.557971,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/115219_covariance.mat,0.292893,-0.000000,1.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/116524_covariance.mat,0.818107,0.000000,0.257236
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/115825_covariance.mat,0.157653,0.660522,0.993398
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/147636_covariance.mat,1.000000,0.000000,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/104820_covariance.mat,0.097478,0.857479,0.945706
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/104416_covariance.mat,0.362558,0.693558,0.576075
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/104012_covariance.mat,0.519607,0.679378,0.000000
/home/gbz6qn/Documents/PhD/Spring26/network_science/network-science-final/mats/168947_covariance.mat,0.208094,0.528678,0.996296
